YEAR;DOY;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;WS2M;T2M_MAX;T2M_MIN
2021;97;14,79;26,16;0;61,19;0,07;36,71;24,03
2021;98;19,73;26,17;0;71,5;0,1;31,05;24,51
2021;99;14,71;25,38;0,01;75,38;0,09;29,17;23,76
2021;100;21,11;26,47;0;66,19;0,11;33,5;23,21
2021;101;16,99;26,51;0;60,38;0,11;33,36;24,82
2021;102;17,1;26,61;3,73;64,94;0,07;33,83;24,84
2021;103;19,88;26,66;1,42;68,25;0,1;33,99;24,34
2021;104;16,04;26,17;0,22;78,44;0,09;29,32;24,51
2021;105;18,35;26,54;0,66;62,69;0,1;36,17;23,21
2021;106;19,74;26,32;1,72;71;0,12;32,72;24,09
2021;107;19,3;26,39;5,2;78,69;0,09;31,43;23,73
2021;108;17,41;25,4;5,1;78,5;0,12;30,23;23,44
2021;109;19,39;25,78;1,46;70,62;0,11;32,59;23,62
2021;110;23,88;26,66;1,19;68,12;0,12;32,9;23,73
2021;111;18,97;26,66;0,73;68,81;0,09;31,69;24,22
2021;112;23,12;26,59;0,93;60,75;0,14;36,33;23,02
2021;113;19,89;26,64;0;58,81;0,09;36,22;25,08
2021;114;20,75;26,7;0;59,25;0,08;36,83;24,65
2021;115;20,13;26,5;0;63,88;0,08;34,06;25,19
2021;116;18,38;26,58;0;64,75;0,09;33,99;25,34
2021;117;11,1;26,66;0;66,88;0,09;32,59;24,33
2021;118;9,26;26,77;0;71,94;0,09;29,77;23,83
2021;119;11,6;25,58;0;61,94;0,1;32,59;23,08
2021;120;12,45;25,18;0;58,5;0,09;32,61;24,01
2021;121;19,82;26,32;0;54,5;0,14;34,29;24,69
2021;122;18,52;25,88;0;65,62;0,09;30,39;24,14
2021;123;15,97;25,59;0;61,19;0,09;33,59;22,83
2021;124;17,93;26,12;0;57,88;0,11;33,1;22,83
2021;125;15,42;24,61;0;56,56;0,12;32,33;23,66
2021;126;14,2;25,84;0;57,31;0,16;34,49;23,95
2021;127;22,16;26,34;0;67,81;0,1;30,16;24,12
2021;128;15,68;25,75;0;72,25;0,09;28,82;23,94
2021;129;19,44;24,85;0;58;0,1;36,57;23,3
2021;130;13,94;23,86;0;56,94;0,1;36,79;24,39
2021;131;18,16;25,29;0;56,88;0,09;36,46;24,18
2021;132;20,45;26,3;0;55,12;0,09;36,35;25,33
2021;133;23,99;26,29;0;50,75;0,12;38,58;25,64
2021;134;22,19;26,78;0;50,69;0,11;38,03;26,4
2021;135;19,52;26,34;0;45,94;0,12;37,99;27,46
2021;136;19,08;26,14;0;58,31;0,09;35,29;26,9
2021;137;17,56;25,53;0;64,19;0,1;32,44;25,15
2021;138;20,92;25,91;0;54,25;0,08;35,91;24,6
2021;139;21,59;26,37;0;50;0,12;37,82;25,27
2021;140;18,8;25,73;0;61,5;0,07;32,23;25,08
2021;141;19,58;25,44;0;57,62;0,09;36,64;24,65
2021;142;17,82;25,32;0;59,12;0,08;35,23;26,27
2021;143;18,48;25,71;0;59,94;0,09;34,98;25,11
2021;144;15;25,53;0;52,31;0,1;38,17;25,57
2021;145;19,5;25,3;0;60,44;0,09;36,11;25,65
2021;146;20,58;26,29;0;50,62;0,1;38,05;25,35
2021;147;16,01;25,34;0;46,75;0,08;38,33;26,43
2021;148;18,48;25,19;0;59,94;0,09;31,68;26,12
2021;149;14,39;25,32;0;70;0,05;30,73;23,7
2021;150;18,05;25,4;0;62,38;0,09;36,55;22,98
2021;151;19,84;25,34;0;65,62;0,08;34,01;24,66
2021;152;17,99;25,22;0;58;0,09;35,76;24,4
2021;153;22,11;25,95;0;67;0,09;29,87;25,54
2021;154;20,91;25,74;0;50,94;0,09;37,6;24,55
2021;155;16,75;25,29;0;53,12;0,08;36,72;26,06
2021;156;18,23;24,58;0;65,38;0,05;32,23;24,86
2021;157;16,02;23,52;0;70,94;0,08;30,94;24,38
2021;158;16,29;24,88;0;61;0,09;33,57;23,97
2021;159;16,84;25,23;0;59,69;0,07;34,45;24,56
2021;160;13,48;25,29;0;65,69;0,1;31,78;24,23
2021;161;13,19;24,8;0;53,25;0,09;35,69;24,21
2021;162;19,31;25,11;0;46,25;0,12;37,91;25,12
2021;163;19,15;24,61;0;63,81;0,07;31,72;24,85
2021;164;16,51;23,84;0;65,25;0,09;32,52;24,32
2021;165;15,17;24,64;0;63,12;0,09;31,87;24,7
2021;166;16,96;25,21;0,01;56,44;0,11;35,55;24,21
2021;167;20,05;24,91;0,66;52,75;0,11;37,02;25,05
2021;168;20,61;24,64;0,18;53;0,09;36,8;24,46
2021;169;19,86;24,91;0;53,94;0,07;36,69;24,6
2021;170;20,21;25,21;0;51,44;0,09;36,84;25,03
2021;171;15,48;25,4;0;56;0,15;34,66;25,99
2021;172;20,61;25,4;0;54,25;0,13;36,13;24,68
2021;173;18,37;24,16;0;61;0,09;34,51;24,29
2021;174;19,52;25,29;0;59,5;0,08;34,94;23,85
2021;175;16,24;25,02;0;65;0,07;30,17;23,42
2021;176;21,2;25,31;0;54,69;0,09;35,68;22,33
2021;177;18,48;25,28;0;62,75;0,09;32,55;24,14
2021;178;18,23;25,36;0;58,44;0,09;35,34;24,01
2021;179;21,63;25,39;0,05;57,06;0,09;35,58;24,12
2021;180;21,96;25,76;0,02;52,31;0,09;37,69;24,91
2021;181;16,1;25,48;0,17;53,88;0,08;36,51;24,3
2021;182;16,52;25,21;0,64;62,12;0,08;34,75;24,34
2021;183;20,65;25,27;0,09;56,69;0,07;36,19;23,51
2021;184;20,89;24,97;0;54;0,09;36,54;25,35
2021;185;15,36;24,86;0;56,88;0,08;35,58;24,39
2021;186;20,04;25,33;0;52,56;0,07;36,44;24,38
2021;187;19,44;25,5;0;48,75;0,1;37,55;25,4
2021;188;21,45;25,47;0;46,31;0,1;38,15;26,4
2021;189;21,7;24,23;0;50,88;0,1;37,83;25,58
2021;190;13,97;24,64;0;61,69;0,1;32,57;25,73
2021;191;18,96;24,97;0;63,56;0,08;32,23;24,69
2021;192;16,68;24,98;0;65;0,09;31,58;24,37
2021;193;19,26;25,51;0;51,62;0,09;37,95;24,82
2021;194;17,35;25,16;0;52,25;0,1;37,29;24,59
2021;195;19,8;24,71;0;45,56;0,1;37,62;24,61
2021;196;21,32;24,99;0;48,56;0,11;36,74;24,62
2021;197;20,13;25,06;0,01;46,69;0,09;38,3;25,07
2021;198;21,17;25,48;0;53,44;0,11;36,25;26,05
2021;199;19,79;25,27;0;48,56;0,11;38,86;25,48
2021;200;22,9;26,33;0;47,12;0,11;37,87;26,03
2021;201;21,3;24,56;0;38,12;0,2;39,55;26,03
2021;202;18,77;24,7;0;42,19;0,13;38,51;28,07
2021;203;17,07;25,04;0;45,69;0,12;38,35;26,3
2021;204;18,54;25;0;48,5;0,12;38,42;26,98
2021;205;14,18;23,95;0;64,12;0,07;32,44;25,94
2021;206;13,43;24,77;0,86;77,12;0,07;26,95;23,49
2021;207;14,57;24,74;0,07;58,12;0,07;36,75;22,76
2021;208;16,62;25,41;0;64,44;0,09;33,55;24,24
2021;209;19,32;25,68;0;54;0,13;36,3;23,94
2021;210;20,1;25,81;0;45,38;0,1;38,33;26
2021;211;19,54;26,24;0;44,69;0,08;38,58;25,8
2021;212;22,58;26,41;0;48,12;0,09;37,88;26,05
2021;213;17,39;25,39;0;46,25;0,09;38,38;26,1
2021;214;20,91;26,02;0;58,81;0,06;36,34;24,98
